"Code", ""Wahl"/"Pflicht"", "Lernort", "Kriterium", "Niveau" 
"b1.7", "Pflicht", "BFS", "Sie erläutern die Prinzipien des Ecodesigns in Bezug auf material- und energieeffizientes Design.", "LN 2"
"b1.8", "Pflicht", "üK", "Sie wenden klassische Grundschaltungen an.", "LN 2"
"b1.9", "Pflicht", "BE", "Sie überprüfen auf Grund des Schemas die prinzipielle Funktion von Schaltungsteilen.", "LN 3"
"b1.10", "Pflicht", "BFS", "Sie simulieren elektronische Schaltungen.", "LN 4"
"b1.11", "Pflicht", "üK", "Sie überprüfen die Schaltung mit Messgeräten.", "LN 3"
"b1.12", "Pflicht", "BE", "Sie zeichnen mit einem CAD-System nach Firmenvorgaben das Schema.", "LN 3"
"b1.13", "Pflicht", "BFS", "Sie setzen für das Schema nach geltenden Normen die richtigen Symbole und Bezeichner ein.", "LN 2"
"b1.14", "Pflicht", "BFS", "Sie zeichnen leserliche Schemas.", "LN 2"
"b1.15", "Pflicht", "BE", "Sie erfassen in Bauteilbibliotheken alle relevanten Daten.", "LN 3"
"b2.1", "Pflicht", "BE", "Sie erstellen mit einem CAD-System nach Designregeln Layouts.", "LN 4"
"b2.2", "Pflicht", "BFS", "Sie erklären die grundlegenden Eigenschaften einer Leiterplatte.", "LN 1"
"b2.3", "Pflicht", "BFS", "Sie erstellen unter Berücksichtigung der physikalischen Begebenheiten das Layout von Leiterplatten.", "LN 4"
"b2.4", "Pflicht", "BE", "Sie wenden die Designempfehlungen aus den Datenblättern in den Layouts an.", "LN 3"
"b2.5", "Pflicht", "BE", "Sie zeichnen die Leiterplatte gemäss dem mechanischen Konzept.", "LN 3"
"b2.6", "Pflicht", "BFS", "Sie unterscheiden Komponenten Bauformen.", "LN 2"
"b2.7", "Pflicht", "BFS", "Sie entscheiden sich für genormte Darstellungs- und Spezifikationsarten und wenden diese den Funktionen entsprechend an.", "LN 2"
"b2.8", "Pflicht", "BE", "Sie erfassen in Bauteilbibliotheken alle relevanten Daten.", "LN 3"
"b2.9", "Pflicht", "BE", "Sie generieren die notwendigen Dateien für die Herstellung und Bestückung der Leiterplatte.", "LN 3"
"b2.10", "Pflicht", "BFS", "Sie erklären die Bedeutung der verschiedenen Produktionsdaten.", "LN 1"
"b2.11", "Pflicht", "BE", "Sie bestellen bei einem Hersteller Prototypen der Leiterplatte.", "LN 3"
"b3.1", "Pflicht", "BE", "Sie stellen gemäss Fertigungsunterlagen das Material bereit.", "LN 3"
"b3.2", "Pflicht", "BE", "Sie kontrollieren das bereitgestellte Material.", "LN 2"
"b3.3", "Pflicht", "BFS", "Sie stellen gemäss Fertigungsunterlagen das Material bereit.", "LN 2"
"b3.4", "Pflicht", "BFS", "Sie kontrollieren das bereitgestellte Material.", "LN 1"
"b3.5", "Pflicht", "BFS", "Sie interpretieren Fertigungsunterlagen wie Zeichnungen, Stücklisten und Zusammenstellungszeichnungen.", "LN 2"
"b3.6", "Pflicht", "BE", "Sie planen je nach Verfügbarkeit des Materials oder anderer Ressourcen die Arbeiten.", "LN 4"
"b3.7", "Pflicht", "BE", "Sie halten zum Schutz von Personen und Betriebsmittel die Sicherheitsmassnahmen ein.", "LN 3"
"b3.8", "Pflicht", "BFS", "Sie erklären die Effekte der elektrostatischen Entladung (ESD).", "LN 1"
"b3.9", "Pflicht", "BE", "Sie stellen Kabel für elektrische Verbindungen her.", "LN 3"
"b3.10", "Pflicht", "BFS", "Sie beschreiben die Eigenschaften von verschiedenen Leiter- und Steckertypen.", "LN 1"
"b3.11", "Pflicht", "üK", "Sie stellen Kabel mit unterschiedlichen Steckertypen her.", "LN 2"
"b3.12", "Pflicht", "BE", "Sie bestücken und löten Leiterplatten.", "LN 3"
"b3.13", "Pflicht", "üK", "Sie bestücken und löten beispielhafte Leiterplatten mit verschiedensten Bauarten von Bauteilen.", "LN 2"
"b3.14", "Pflicht", "BE", "Sie modifizieren bestehende Leiterplatten oder Baugruppen.", "LN 3"
"b3.15", "Pflicht", "üK", "Sie modifizieren Leiterplatten.", "LN 2"
"b3.16", "Pflicht", "BE", "Sie korrigieren fehlende oder falsche Angaben in den Unterlagen.", "LN 3"
"b3.17", "Pflicht", "üK", "Sie korrigieren fehlende oder falsche Angaben in den Unterlagen.", "LN 2"
"b3.18", "Pflicht", "BE", "Sie nehmen einfache mechanische Montagen vor.", "LN 3"
"b3.19", "Pflicht", "üK", "Sie setzen verschiedene mechanische Verbindungstechnologien ein.", "LN 2"
"b3.20", "Pflicht", "BE", "Sie kontrollieren optisch nach Prüfkriterien die Lötstellen, Bestückungen und Verbindungen.", "LN 3"
"b3.21", "Pflicht", "üK", "Sie bewerten optisch nach vorgegebenen Kriterien Lötstellen, Bestückungen und Verbindungen.", "LN 2"
"b3.22", "Pflicht", "BE", "Sie schützen Leiterplatten oder Baugruppen vor möglichen Schadeinwirkungen.", "LN 3"
"b3.23", "Pflicht", "BFS", "Sie erläutern schädliche Einflüsse auf Leiterplatten oder Baugruppen.", "LN 2"
"b3.24", "Pflicht", "BE", "Sie schützen sich und Betriebsmittel vor Schäden und führen Abfälle einer Wiederverwertung zu oder entsorgen sie umweltgerecht.", "LN 3"
"b3.25", "Pflicht", "BFS", "Sie identifizieren in Datenblättern oder Inhaltsangaben problematische Stoffe und mögliche Gefahren bezüglich Arbeits- und Umweltschutz.", "LN 4"
"b3.26", "Pflicht", "BE", "Sie organisieren ihren Arbeitsplatz.", "LN 3"
"b3.27", "Pflicht", "BE", "Sie wählen die für ihre Arbeit benötigen Materialien, Hilfsstoffe und Arbeitsmittel aus und stellen diese bereit.", "LN 4"
"b3.28", "Pflicht", "BE", "Sie gewährleisten die Pflege und den Unterhalt der Werkzeuge/Arbeitsgeräte und Verbrauchsgüter.", "LN 3"
"b3.29", "Pflicht", "üK", "Sie organisieren ihren Arbeitsplatz.", "LN 1"
"b3.30", "Pflicht", "üK", "Sie wählen die für ihre Arbeit benötigen Materialien, Hilfsstoffe und Arbeitsmittel aus und stellen diese bereit.", "LN 1"
"b3.31", "Pflicht", "üK", "Sie gewährleisten die Pflege und den Unterhalt der Werkzeuge/Arbeitsgeräte und Verbrauchsgüter.", "LN 1"
"b3.32", "Pflicht", "BE", "Sie lagern Material und Waren fachgerecht gemäss betrieblichen und rechtlichen Vorgaben/Anforderungen.", "LN 3"
"b3.33", "Pflicht", "BE", "Sie beschaffen Material und Waren fachgerecht gemäss betrieblichen und rechtlichen Vorgaben/Anforderungen.", "LN 4"
"b3.34", "Pflicht", "BE", "Sie bewirtschaften auftragsbezogenes Material, Ersatzteile, Waren oder Dienstleistungen und stellen diese bereit.", "LN 4"
"b3.35", "Pflicht", "üK", "Sie bewirtschaften auftragsbezogene Materialien, Ersatzteile, Waren oder Dienstleistungen und stellen diese bereit.", "LN 1"
"b3.36", "Pflicht", "BE", "Sie decken durch Kontrollen der Arbeitssicherheit Defizite auf und leiten korrigierende Massnahmen ein.", "LN 5"
"b3.37", "Pflicht", "BE", "Sie leisten einen Beitrag zur laufenden Weiterentwicklung der Arbeitssicherheit.", "LN 3"
"b3.38", "Pflicht", "BFS", "Sie identifizieren relevante Massnahmen und Verhaltensregeln zur Einhaltung von Arbeitssicherheit.", "LN 4"
"b3.39", "Pflicht", "BE", "Sie setzen die Vorgaben zur Arbeitssicherheit in ihrer Arbeit um und stellen die Einhaltung in ihrem Umfeld sicher.", "LN 3"
"b3.40", "Pflicht", "BE", "Sie dokumentieren die Einhaltung von Arbeitssicherheit und Umweltschutz nach betrieblichen Vorgaben.", "LN 3"
"b3.41", "Pflicht", "BE", "Sie halten im eigenen Arbeitsumfeld die gesetzlichen Vorschriften und betrieblichen Vorgaben zum Schutz der Umwelt ein.", "LN 3"
"b3.42", "Pflicht", "BE", "Sie dokumentieren deren Einhaltung nach betrieblichen Vorgaben.", "LN 3"
"b3.43", "Pflicht", "BFS", "Sie planen an Beispielen aus ihrem Arbeitsumfeld Massnahmen und Verhaltensvorgaben.", "LN 4"
"b3.44", "Pflicht", "üK", "Sie setzen die Vorgaben zur Arbeitssicherheit in ihrer Arbeit um und stellen die Einhaltung in ihrem Umfeld sicher.", "LN 1"
"b3.45", "Pflicht", "üK", "Sie dokumentieren die Einhaltung von Arbeitssicherheit und Umweltschutz nach betrieblichen Vorgaben.", "LN 3"
"b3.46", "Pflicht", "üK", "Sie halten im eigenen Arbeitsumfeld die gesetzlichen Vorschriften und betrieblichen Vorgaben zum Schutz der Umwelt ein.", "LN 1"
"b3.47", "Pflicht", "üK", "Sie dokumentieren deren Einhaltung nach betrieblichen Vorgaben.", "LN 2"
"b3.48", "Pflicht", "BE", "Sie lassen in ihrem Handeln und Entscheiden ökologische Aspekte einfliessen.", "LN 3"
"b3.49", "Pflicht", "BE", "Sie erkennen die ökologischen Gefahren in ihrem Arbeitsbereich und leiten zielführende Massnahmen zum Schutz von Umwelt und Mensch ein.", "LN 5"
"b3.50", "Pflicht", "BFS", "Sie bestimmen den ökologischen Fussabdruck der eigenen betrieblichen Tätigkeit, reflektieren diesen und schlagen wo möglich Verbesserungen vor.", "LN 5"
"b3.51", "Pflicht", "BFS", "Sie erkennen die ökologischen Herausforderungen und deren Lösungsmöglichkeiten in ihrem Arbeitsbereich.", "LN 4"
"b3.52", "Pflicht", "üK", "Sie lassen in ihrem Handeln und Entscheiden ökologische Aspekte einfliessen.", "LN 2"
"b4.1", "Pflicht", "BE", "Sie legen anhand des Schemas oder der Funktion die Messpunkte fest.", "LN 4"
"b4.2", "Pflicht", "üK", "Sie ermitteln anhand typischer Beispiele die notwendigen Messpunkte.", "LN 2"
"b4.3", "Pflicht", "BE", "Sie bestimmen die Geräte und Hilfsmittel, welche für die durchzuführenden Messungen nötig sind.", "LN 4"
"b4.4", "Pflicht", "üK", "Sie ermitteln die geeigneten Messgeräte und Hilfsmittel für die durchzuführenden Messungen.", "LN 2"
"b4.5", "Pflicht", "BE", "Sie treffen situationsgerechte Maßnahmen zum Schutz von Personen und Gerät.", "LN 3"
"b4.6", "Pflicht", "üK", "Sie erarbeiten anhand von Beispielsituationen die notwendigen Schutzmaßnahmen für Mensch und Gerät.", "LN 1"
"b4.7", "Pflicht", "BE", "Sie halten während der Inbetriebnahme alle Schritte gemäss Protokoll in der richtigen Abfolge ein.", "LN 3"
"b4.8", "Pflicht", "üK", "Sie halten während der Inbetriebnahme alle Schritte gemäss Protokoll in der richtigen Abfolge ein.", "LN 2"
"b4.9", "Pflicht", "BE", "Sie protokollieren bei Abweichungen vom Sollwert ihre Vermutungen.", "LN 3"
"b4.10", "Pflicht", "üK", "Sie protokollieren bei Abweichungen vom Sollwert ihre Vermutungen.", "LN 2"
"b4.11", "Pflicht", "BE", "Sie messen Schaltungen und achten darauf, deren ursprünglichen Funktion nicht zu beeinflussen.", "LN 3"
"b4.12", "Pflicht", "BFS", "Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.", "LN 3"
"b4.13", "Pflicht", "BFS", "Sie schätzen den Einfluss von Messgeräten auf Beispielschaltungen ab.", "LN 4"
"b4.14", "Pflicht", "üK", "Sie messen Schaltungen und achten darauf, deren ursprünglichen Funktion nicht zu beeinflussen.", "LN 2"
"b4.15", "Pflicht", "BE", "Sie notieren alle Messparameter und alle gemessenen Werte in einem Messprotokoll gemäss Firmenvorgaben.", "LN 3"
"b4.16", "Pflicht", "üK", "Sie erarbeiten den Inhalt und die Struktur eines Messprotokolls.", "LN 1"
"b4.17", "Pflicht", "üK", "Sie erstellen für ihre Inbetriebnahme übersichtliche Messschemas.", "LN 2"
"b4.18", "Pflicht", "BE", "Sie sammeln für eine Störungsbehebung die nötigen Unterlagen und grenzen die Fehlfunktion der Schaltung systematisch ein.", "LN 4"
"b4.19", "Pflicht", "üK", "Sie beheben auf logische und strukturierte Weise Störungen an Schaltungen.", "LN 3"
"b4.20", "Pflicht", "BE", "Sie validieren die gemachten Messungen gemäss dem Pflichtenheft.", "LN 4"
"b5.1", "Pflicht", "BE", "Sie leiten aufgrund der Spezifikationen Prüfkriterien ab.", "LN 4"
"b5.2", "Pflicht", "BFS", "Sie leiten aus einem beispielhaften Pflichtenheft die Prüfkriterien ab.", "LN 3"
"b5.3", "Pflicht", "BE", "Sie definieren für die Prüfung einer Schaltung sinnvolle Teilschritte und Testkonzepte.", "LN 4"
"b5.4", "Pflicht", "üK", "Sie ermitteln die geeigneten Messgeräte und Hilfsmittel für die durchzuführenden Messungen.", "LN 2"
"b5.5", "Pflicht", "üK", "Sie entwickeln für ein elektronisches Projekt ein Testkonzept.", "LN 3"
"b5.6", "Pflicht", "BE", "Sie führen die Teilschritte gemäss Testkonzept durch.", "LN 3"
"b5.7", "Pflicht", "BE", "Sie protokollieren die Testergebnisse vollständig.", "LN 3"
"b5.8", "Pflicht", "üK", "Sie erstellen für ein elektronisches Projekt ein Testprotokoll.", "LN 2"
"b5.9", "Pflicht", "BE", "Bei unbefriedigenden Testergebnissen initiieren sie nötige Änderungen.", "LN 4"
"b5.10", "Pflicht", "BE", "Sie überprüfen die Auswirkungen gemachter Änderungen auf die gesamte Schaltung.", "LN 4"
"b6.1", "Wahl", "BE", "Sie klären ihre Kompetenzen und holen bei der zuständigen Fachperson Unterstützung ab.", "LN 3"
"b6.2", "Wahl", "BE", "Sie halten die Personenschutzmassnahmen ein.", "LN 3"
"b6.3", "Wahl", "BFS", "Sie erklären den Nutzen des Berührungsschutzes.", "LN 1"
"b6.4", "Wahl", "BE", "Sie halten zum Schutz von Personen und Betriebsmittel die Sicherheitsmassnahmen ein.", "LN 3"
"b6.5", "Wahl", "BFS", "Sie erklären die Effekte der elektrostatischen Entladung (ESD).", "LN 1"
"b6.6", "Wahl", "BE", "Sie halten während der Inbetriebnahme alle Schritte gemäss Protokoll in der richtigen Abfolge ein.", "LN 3"
"b6.7", "Wahl", "BE", "Sie protokollieren bei Abweichungen vom Sollwert ihre Vermutungen.", "LN 4"
"b6.8", "Wahl", "BE", "Sie analysieren die Schaltung und zugehörige Unterlagen und leiten dabei das Soll Verhalten ab.", "LN 4"
"b6.9", "Wahl", "BE", "Sie definieren für die Inbetriebnahme die dazu nötigen Mess- und Prüfmittel.", "LN 4"
"b6.10", "Wahl", "BE", "Sie erstellen für ihre Inbetriebnahme übersichtliche Messschemas.", "LN 4"
"b6.11", "Wahl", "BE", "Sie erstellen ein nachvollziehbares Inbetriebnahmeprotokoll für die elektronische Schaltung.", "LN 3"
"b6.12", "Wahl", "BFS", "Sie erstellen beispielhafte Inbetriebnahmeprotokolle.", "LN 2"
"b6.13", "Wahl", "BE", "Sie definieren nach der Analyse der Abweichungen, mögliche Lösungswege, um das Problem zu beheben.", "LN 5"
"b6.14", "Wahl", "BE", "Sie schliessen ihre Inbetriebnahme gemäss den internen Vorgaben ab.", "LN 3"
"b7.1", "Wahl", "BE", "Sie erstellen Skizzen von Hand.", "LN 3"
"b7.2", "Wahl", "BFS", "Sie setzen Skizziertechniken zur Darstellung von Produkten ein und ergänzen diese mit den notwendigen Informationen.", "LN 2"
"b7.3", "Wahl", "BFS", "Sie unterscheiden analoge sowie digitale Hilfsmittel und setzen diese beim Skizzieren ein.", "LN 1"
"b7.4", "Wahl", "BE", "Sie erstellen Skizzen für die Fertigung.", "LN 3"
"b7.5", "Wahl", "BE", "Sie skizzieren für die technische Kommunikation Produkte zwei- und dreidimensional.", "LN 3"
"b7.6", "Wahl", "BFS", "Sie beurteilen beispielhafte Skizzen auf Grund ihres Verwendungszweckes und legen so den Detailierungsgrad dieser fest.", "LN 2"
"b7.7", "Wahl", "BE", "Sie stellen aufgrund der Auftragsdokumente und der Fertigungsunterlagen das Rohmaterial bereit.", "LN 3"
"b7.8", "Wahl", "BFS", "Sie identifizieren aufgrund der Spezifikationen in den Fertigungsunterlagen die Funktionen von Bauteilen.", "LN 3"
"b7.9", "Wahl", "BFS", "Sie wählen aufgrund der Normbezeichnung den geforderten Werkstoff aus.", "LN 2"
"b7.10", "Wahl", "BE", "Sie kontrollieren aufgrund der Auftragsdokumente und der Fertigungsunterlagen das Rohmaterial.", "LN 3"
"b7.11", "Wahl", "BFS", "Sie unterscheiden aufgrund bestimmter Eigenschaften und ihrer Auswirkungen auf die Umwelt die in der MEM-Branche relevanten Werkstoffe.", "LN 2"
